Transaction_ID,Account_ID,Customer_ID,Transaction_Date,Transaction_Type,Amount,Currency,Description,Channel,Branch_ID,Source_System,Fraud_Score
TXN-300019,ACCT-20031,CUST-10062,45834,Withdrawal,47049.85,USD,Payroll deposit,ACH,BR-052,T24_Core,
TXN-300020,ACCT-20129,CUST-10036,45889,ATM Withdrawal,1288.89,USD,Check deposit,ACH,BR-041,T24_Core,0.5306
TXN-300021,ACCT-20010,CUST-10001,45683,Mobile Deposit,49309.14,USD,Vendor payment,ATM,BR-076,JackHenry_Legacy,
TXN-300022,ACCT-20221,CUST-10125,45989,Mobile Deposit,20011.26,USD,Grocery purchase,Online,BR-024,JackHenry_Legacy,
TXN-300023,ACCT-20260,CUST-10050,45367,Withdrawal,35598.54,USD,Investment transfer,Wire,BR-010,JackHenry_Legacy,
TXN-300024,ACCT-20278,CUST-10044,45389,Transfer,44820.95,USD,Rent payment,ACH,BR-009,T24_Core,
TXN-300025,ACCT-20145,CUST-10042,45635,ATM Withdrawal,46450.53,USD,Check deposit,ACH,BR-079,T24_Core,
TXN-300026,ACCT-20172,CUST-10035,45590,POS Purchase,46137.2,USD,Rent payment,Mobile,BR-085,T24_Core,
TXN-300027,ACCT-20134,CUST-10144,45415,Withdrawal,48312.57,USD,Rent payment,Wire,BR-037,T24_Core,
TXN-300028,ACCT-20002,CUST-10030,45676,ACH Debit,28644.09,USD,Online shopping,Mobile,BR-083,T24_Core,0.3134
TXN-300029,ACCT-20115,CUST-10094,45474,ACH Debit,39876.92,USD,Cash deposit,POS,BR-047,T24_Core,
TXN-300030,ACCT-20076,CUST-10057,45576,Fee,24994.13,USD,Direct deposit,Branch,BR-021,T24_Core,
TXN-300031,ACCT-20194,CUST-10147,45448,Mobile Deposit,23916.75,USD,Online shopping,POS,BR-073,T24_Core,
TXN-300032,ACCT-20202,CUST-10014,45989,Transfer,46158.28,USD,Payroll deposit,Online,BR-032,T24_Core,
TXN-300033,ACCT-20272,CUST-10122,45800,Payment,49515.76,USD,Bill pay,ATM,BR-075,T24_Core,
TXN-300034,ACCT-20085,CUST-10149,45527,ACH Credit,43293.44,USD,Investment transfer,ATM,BR-065,T24_Core,0.9346
TXN-300035,ACCT-20077,CUST-10051,45860,Transfer,36767.27,USD,Utility payment,Mobile,BR-051,T24_Core,0.726
TXN-300036,ACCT-20224,CUST-10014,45620,Wire,5871.76,USD,Insurance premium,,BR-032,T24_Core,
TXN-300037,ACCT-20194,CUST-10102,45532,ATM Withdrawal,24433.85,USD,Wire transfer - domestic,ACH,BR-019,JackHenry_Legacy,
TXN-300038,ACCT-20262,CUST-10095,45310,POS Purchase,585.06,USD,Check deposit,ACH,BR-039,T24_Core,0.1221
TXN-300039,ACCT-20154,CUST-10047,45333,Withdrawal,19201.07,USD,Bill pay,POS,BR-020,T24_Core,
TXN-300040,ACCT-20252,CUST-10101,45562,POS Purchase,27805.23,USD,Bill pay,POS,BR-047,T24_Core,
TXN-300041,ACCT-20094,CUST-10054,45550,Interest,48284.22,USD,Grocery purchase,,BR-050,JackHenry_Legacy,
TXN-300042,ACCT-20045,CUST-10053,45545,Interest,32633.76,USD,Bill pay,ACH,BR-060,T24_Core,0.2568
TXN-300043,ACCT-20152,CUST-10064,45735,ACH Credit,15033.5,USD,Vendor payment,Online,BR-048,JackHenry_Legacy,
TXN-300044,ACCT-20024,CUST-10138,45298,Transfer,25531.96,USD,Investment transfer,ATM,BR-022,T24_Core,
TXN-300045,ACCT-20218,CUST-10142,45544,Fee,10805.92,USD,Wire transfer - domestic,ATM,BR-025,T24_Core,
TXN-300046,ACCT-20075,CUST-10117,45343,Mobile Deposit,4167.29,USD,Loan payment,ACH,BR-082,T24_Core,
TXN-300047,ACCT-20085,CUST-10096,45727,Wire,28184.29,USD,Wire transfer - domestic,,BR-084,JackHenry_Legacy,
TXN-300048,ACCT-20035,CUST-10064,45964,Interest,3880.84,USD,Vendor payment,ATM,BR-048,T24_Core,0.11
TXN-300049,ACCT-20195,CUST-10071,45328,ACH Debit,498.12,USD,Investment transfer,POS,BR-006,JackHenry_Legacy,
TXN-300050,ACCT-20284,CUST-10025,45934,Deposit,26450.36,USD,Restaurant,POS,BR-046,T24_Core,
TXN-300051,ACCT-20274,CUST-10047,45888,Transfer,17261.92,USD,Loan payment,,BR-020,JackHenry_Legacy,
TXN-300052,ACCT-20191,CUST-10040,45616,Wire,32879.86,USD,Cash deposit,Online,BR-044,JackHenry_Legacy,0.5676
TXN-300053,ACCT-20119,CUST-10129,45989,Withdrawal,14344.55,USD,Investment transfer,Online,BR-057,T24_Core,
TXN-300054,ACCT-20031,CUST-10021,45636,ACH Debit,3839.28,USD,Check deposit,Branch,BR-022,T24_Core,
TXN-300055,ACCT-20274,CUST-10131,45474,POS Purchase,46622.41,USD,Online shopping,ACH,BR-080,T24_Core,0.4978
TXN-300056,ACCT-20272,CUST-10109,45580,Transfer,35131.07,USD,Direct deposit,ATM,BR-014,T24_Core,
TXN-300057,ACCT-20218,CUST-10094,45844,Interest,41971.25,USD,Grocery purchase,ACH,BR-047,T24_Core,
TXN-300058,ACCT-20249,CUST-10139,45784,Deposit,42539.6,USD,Wire transfer - domestic,Online,BR-061,JackHenry_Legacy,
TXN-300059,ACCT-20031,CUST-10010,45677,ACH Credit,46771.04,USD,Vendor payment,Branch,BR-008,T24_Core,
TXN-300060,ACCT-20053,CUST-10090,45876,Withdrawal,44510.36,USD,Direct deposit,ATM,BR-002,T24_Core,
TXN-300061,ACCT-20242,CUST-10032,45818,Interest,45655.89,USD,International wire,Wire,BR-059,T24_Core,0.7694
TXN-300062,ACCT-20073,CUST-10028,46005,Deposit,49468.52,USD,Customer refund,ACH,BR-063,T24_Core,
TXN-300063,ACCT-20018,CUST-10029,45603,ACH Credit,9482.41,USD,Loan payment,Mobile,BR-034,JackHenry_Legacy,0.3945
TXN-300064,ACCT-20206,CUST-10127,45720,Withdrawal,39992.01,USD,Payroll deposit,Online,BR-044,JackHenry_Legacy,
TXN-300065,ACCT-20177,CUST-10004,45954,Deposit,38370.41,USD,International wire,Online,BR-029,JackHenry_Legacy,
TXN-300066,ACCT-20263,CUST-10022,45391,Withdrawal,38046.19,USD,Loan payment,ATM,BR-045,T24_Core,
TXN-300067,ACCT-20259,CUST-10051,45410,POS Purchase,23697.27,USD,Gas station,ATM,BR-051,T24_Core,
TXN-300068,ACCT-20011,CUST-10010,45350,Deposit,13696.71,USD,Wire transfer - domestic,Online,BR-008,T24_Core,
TXN-300069,ACCT-20028,CUST-10057,45697,Interest,16812.21,USD,Loan payment,ACH,BR-021,T24_Core,
TXN-300070,ACCT-20110,CUST-10064,45878,POS Purchase,15995.45,USD,Grocery purchase,Online,BR-048,JackHenry_Legacy,0.0409
TXN-300071,ACCT-20068,CUST-10094,45832,Interest,16717.44,USD,Direct deposit,ATM,BR-047,T24_Core,0.6689
TXN-300072,ACCT-20063,CUST-10054,45586,Payment,29218.44,USD,Online shopping,Branch,BR-050,T24_Core,0.1064
TXN-300073,ACCT-20105,CUST-10140,45296,Payment,30952.42,USD,International wire,Online,BR-001,JackHenry_Legacy,
TXN-300074,ACCT-20225,CUST-10089,45518,ACH Debit,44746.18,USD,Direct deposit,ATM,BR-068,JackHenry_Legacy,
TXN-300075,ACCT-20099,CUST-10071,45891,ACH Debit,34836.83,USD,Direct deposit,ATM,BR-006,JackHenry_Legacy,0.0454
TXN-300076,ACCT-20141,CUST-10131,45352,Transfer,19210.6,USD,Online shopping,Branch,BR-080,JackHenry_Legacy,
TXN-300077,ACCT-20114,CUST-10117,46000,ACH Debit,25193.37,USD,Grocery purchase,Branch,BR-082,JackHenry_Legacy,
TXN-300078,ACCT-20144,CUST-10061,45440,Deposit,14595.71,USD,Insurance premium,ATM,BR-062,JackHenry_Legacy,
TXN-300079,ACCT-20190,CUST-10030,45711,ACH Debit,74.99,USD,Loan payment,Mobile,BR-083,JackHenry_Legacy,
TXN-300080,ACCT-20114,CUST-10076,45725,Deposit,16235.13,USD,Bill pay,POS,BR-072,JackHenry_Legacy,0.8159
TXN-300081,ACCT-20133,CUST-10028,45512,Interest,36131.5,USD,Loan payment,ACH,BR-063,T24_Core,
TXN-300082,ACCT-20077,CUST-10040,45704,Transfer,22305.57,USD,Cash deposit,POS,BR-044,T24_Core,
TXN-300083,ACCT-20146,CUST-10049,45418,Transfer,28485.05,USD,Wire transfer - domestic,ATM,BR-045,T24_Core,
TXN-300084,ACCT-20208,CUST-10037,45643,Transfer,3607.07,USD,Payroll deposit,Mobile,BR-032,T24_Core,
TXN-300085,ACCT-20069,CUST-10006,45331,Transfer,5506.23,USD,Payroll deposit,Branch,BR-011,T24_Core,0.8305
TXN-300086,ACCT-20105,CUST-10139,45529,POS Purchase,36807.89,USD,Cash deposit,Online,BR-061,T24_Core,
TXN-300087,ACCT-20065,CUST-10123,45295,ACH Debit,7729.89,USD,Investment transfer,POS,BR-023,T24_Core,0.692
TXN-300088,ACCT-20199,CUST-10037,45464,Fee,65.51,USD,Insurance premium,ACH,BR-032,T24_Core,
TXN-300089,ACCT-20146,CUST-10029,45708,Interest,24593.57,USD,Grocery purchase,Branch,BR-034,T24_Core,
TXN-300090,ACCT-20219,CUST-10039,45618,Fee,8907.5,USD,Investment transfer,Branch,BR-029,T24_Core,
TXN-300091,ACCT-20041,CUST-10128,45376,ATM Withdrawal,33088.28,USD,Gas station,Mobile,BR-012,JackHenry_Legacy,
TXN-300092,ACCT-20076,CUST-10123,45448,Transfer,40733.41,USD,Wire transfer - domestic,Mobile,BR-023,T24_Core,0.4275
TXN-300093,ACCT-20172,CUST-10124,45604,Wire,34672.57,USD,International wire,Wire,BR-044,JackHenry_Legacy,
TXN-300094,ACCT-20217,CUST-10127,45629,Payment,26626.06,USD,Customer refund,,BR-044,T24_Core,
TXN-300095,ACCT-20032,CUST-10093,45836,Transfer,27920.93,USD,Investment transfer,POS,BR-082,JackHenry_Legacy,
TXN-300096,ACCT-20062,CUST-10108,45497,Deposit,12128.66,USD,International wire,ACH,BR-084,T24_Core,
TXN-300097,ACCT-20017,CUST-10149,45448,Withdrawal,3693.15,USD,Insurance premium,Wire,BR-065,T24_Core,
TXN-300098,ACCT-20272,CUST-10039,45883,Mobile Deposit,38272.06,USD,Vendor payment,ACH,BR-029,T24_Core,
TXN-300099,ACCT-20090,CUST-10074,45304,Wire,5567.78,USD,Cash deposit,POS,BR-065,T24_Core,0.6425
TXN-300100,ACCT-20082,CUST-10147,45705,Wire,25096.11,USD,Gas station,Mobile,BR-073,JackHenry_Legacy,
TXN-300101,ACCT-20041,CUST-10015,45880,ATM Withdrawal,10949.23,USD,Wire transfer - domestic,ATM,BR-004,T24_Core,
TXN-300102,ACCT-20041,CUST-10096,45955,Interest,32334.13,USD,Payroll deposit,ATM,BR-084,JackHenry_Legacy,
TXN-300103,ACCT-20160,CUST-10028,45542,ATM Withdrawal,3270.63,USD,Utility payment,Branch,BR-063,JackHenry_Legacy,
TXN-300104,ACCT-20026,CUST-10145,45698,Deposit,2248.5,USD,Customer refund,Mobile,BR-020,JackHenry_Legacy,
TXN-300105,ACCT-20068,CUST-10050,45457,Mobile Deposit,15727.05,USD,Direct deposit,POS,BR-010,T24_Core,
TXN-300106,ACCT-20021,CUST-10007,45721,ATM Withdrawal,29360.84,USD,Cash deposit,ACH,BR-003,T24_Core,
TXN-300107,ACCT-20084,CUST-10060,45895,Transfer,44220.68,USD,Vendor payment,Wire,BR-068,T24_Core,
TXN-300108,ACCT-20108,CUST-10011,45370,ATM Withdrawal,44534.54,USD,Check deposit,Branch,BR-002,T24_Core,
TXN-300109,ACCT-20046,CUST-10080,45703,Interest,27359.07,USD,Restaurant,ATM,BR-062,T24_Core,
TXN-300110,ACCT-20237,CUST-10072,45878,ACH Credit,28827.7,USD,Gas station,Wire,BR-005,JackHenry_Legacy,
TXN-300111,ACCT-20068,CUST-10011,45825,POS Purchase,18176.79,USD,Vendor payment,ACH,BR-002,T24_Core,
TXN-300112,ACCT-20023,CUST-10130,45652,Payment,22507.36,USD,Bill pay,,BR-016,T24_Core,
TXN-300113,ACCT-20116,CUST-10075,45891,Withdrawal,18794.21,USD,Customer refund,ACH,BR-039,JackHenry_Legacy,
TXN-300114,ACCT-20205,CUST-10120,45760,Interest,5460.41,USD,Rent payment,Wire,BR-043,JackHenry_Legacy,
TXN-300115,ACCT-20021,CUST-10055,45509,ATM Withdrawal,35116.03,USD,Online shopping,Branch,BR-017,JackHenry_Legacy,
TXN-300116,ACCT-20244,CUST-10098,45298,Deposit,3124.7,USD,International wire,ACH,BR-014,T24_Core,
TXN-300117,ACCT-20233,CUST-10022,45907,ATM Withdrawal,7091.19,USD,Loan payment,Branch,BR-045,T24_Core,
TXN-300118,ACCT-20180,CUST-10110,45885,ACH Debit,17104.25,USD,Restaurant,Mobile,BR-055,T24_Core,
TXN-300119,ACCT-20041,CUST-10147,45465,Mobile Deposit,19459.95,USD,Vendor payment,,BR-073,JackHenry_Legacy,0.7831
TXN-300120,ACCT-20210,CUST-10038,45924,Deposit,24974.79,USD,Cash deposit,POS,BR-082,T24_Core,
TXN-300121,ACCT-20217,CUST-10116,45578,Payment,31947.63,USD,Customer refund,ATM,BR-004,JackHenry_Legacy,
TXN-300122,ACCT-20159,CUST-10004,45642,ATM Withdrawal,18515.97,USD,Cash deposit,Online,BR-029,T24_Core,
TXN-300123,ACCT-20092,CUST-10139,45850,Transfer,21295.33,USD,Bill pay,Wire,BR-061,T24_Core,
TXN-300124,ACCT-20147,CUST-10098,45348,Withdrawal,14254.97,USD,Rent payment,Wire,BR-014,T24_Core,
TXN-300125,ACCT-20053,CUST-10027,45919,Deposit,24822.76,USD,Investment transfer,ATM,BR-025,T24_Core,
TXN-300126,ACCT-20181,CUST-10117,45865,ATM Withdrawal,27581.64,USD,Wire transfer - domestic,,BR-082,T24_Core,0.8563
TXN-300127,ACCT-20159,CUST-10058,45969,Deposit,25380.5,USD,International wire,,BR-050,T24_Core,
TXN-300128,ACCT-20164,CUST-10040,45735,Wire,39526.55,USD,Insurance premium,Mobile,BR-044,T24_Core,
TXN-300129,ACCT-20067,CUST-10101,45997,Wire,41428.35,USD,Vendor payment,Mobile,BR-047,T24_Core,
TXN-300130,ACCT-20202,CUST-10026,45906,Interest,35502.69,USD,Online shopping,Branch,BR-061,T24_Core,0.1184
TXN-300131,ACCT-20197,CUST-10003,45650,Transfer,31446.56,USD,Cash deposit,POS,BR-042,T24_Core,
TXN-300132,ACCT-20276,CUST-10048,45651,Wire,11989.9,USD,Loan payment,Online,BR-019,T24_Core,
TXN-300133,ACCT-20054,CUST-10037,45524,Withdrawal,31373.76,USD,Grocery purchase,Online,BR-032,T24_Core,
TXN-300134,ACCT-20108,CUST-10024,45704,Deposit,3873.68,USD,International wire,ACH,BR-056,T24_Core,
TXN-300135,ACCT-20232,CUST-10054,45361,Deposit,34368.38,USD,Restaurant,ACH,BR-050,JackHenry_Legacy,
TXN-300136,ACCT-20281,CUST-10009,45368,Mobile Deposit,5864.77,USD,Loan payment,ATM,BR-062,JackHenry_Legacy,
TXN-300137,ACCT-20112,CUST-10008,45695,Deposit,26800.03,USD,Vendor payment,Branch,BR-060,T24_Core,
TXN-300138,ACCT-20284,CUST-10069,45893,ACH Credit,13686.96,USD,International wire,Mobile,BR-041,T24_Core,
TXN-300139,ACCT-20145,CUST-10065,45707,POS Purchase,8652.11,USD,Investment transfer,ATM,BR-010,JackHenry_Legacy,
TXN-300140,ACCT-20165,CUST-10111,45578,Wire,44143.45,USD,Online shopping,Online,BR-047,T24_Core,
TXN-300141,ACCT-20152,CUST-10116,45839,Withdrawal,8366.62,USD,Restaurant,Mobile,BR-004,T24_Core,0.5114
TXN-300142,ACCT-20076,CUST-10092,45689,Interest,12269.68,USD,Payroll deposit,ATM,BR-027,JackHenry_Legacy,
TXN-300143,ACCT-20199,CUST-10146,45937,ACH Debit,39762.99,USD,Online shopping,Online,BR-043,JackHenry_Legacy,
TXN-300144,ACCT-20224,CUST-10020,45815,Payment,28699.55,USD,Utility payment,Mobile,BR-043,T24_Core,
TXN-300145,ACCT-20198,CUST-10071,45566,Fee,21064.76,USD,Payroll deposit,POS,BR-006,JackHenry_Legacy,0.1711
TXN-300146,ACCT-20208,CUST-10002,45552,Deposit,45582.6,USD,Vendor payment,Branch,BR-009,JackHenry_Legacy,
TXN-300147,ACCT-20164,CUST-10025,45841,ACH Debit,41493.36,USD,Vendor payment,Branch,BR-046,T24_Core,
TXN-300148,ACCT-20064,CUST-10077,45934,Deposit,34824.36,USD,Insurance premium,,BR-042,T24_Core,
TXN-300149,ACCT-20225,CUST-10036,45354,Payment,5261.26,USD,Customer refund,Wire,BR-041,T24_Core,
TXN-300150,ACCT-20157,CUST-10014,45423,Mobile Deposit,12988.09,USD,Wire transfer - domestic,ATM,BR-032,T24_Core,
TXN-300151,ACCT-20213,CUST-10150,45965,ACH Debit,23037.38,USD,Direct deposit,Mobile,BR-012,JackHenry_Legacy,0.8619
TXN-300152,ACCT-20137,CUST-10072,45994,Interest,16098.96,USD,Bill pay,ATM,BR-005,T24_Core,
TXN-300153,ACCT-20112,CUST-10020,45845,ACH Credit,3761.84,USD,Grocery purchase,POS,BR-043,JackHenry_Legacy,
TXN-300154,ACCT-20234,CUST-10136,45539,Transfer,25698.8,USD,Insurance premium,Mobile,BR-059,JackHenry_Legacy,
TXN-300155,ACCT-20218,CUST-10132,45606,POS Purchase,10155.02,USD,Grocery purchase,Branch,BR-080,T24_Core,
TXN-300156,ACCT-20245,CUST-10062,45817,Withdrawal,834.31,USD,Bill pay,Mobile,BR-052,T24_Core,
TXN-300157,ACCT-20227,CUST-10039,45812,Deposit,19849.42,USD,Wire transfer - domestic,Mobile,BR-029,T24_Core,
TXN-300158,ACCT-20254,CUST-10076,45710,Deposit,9476.53,USD,Insurance premium,ATM,BR-072,T24_Core,
TXN-300159,ACCT-20274,CUST-10014,45420,POS Purchase,44753.45,USD,Wire transfer - domestic,Branch,BR-032,T24_Core,
TXN-300160,ACCT-20149,CUST-10069,45992,Withdrawal,24761.11,USD,Restaurant,ACH,BR-041,JackHenry_Legacy,
TXN-300161,ACCT-20089,CUST-10123,45964,Transfer,36955.84,USD,Restaurant,Mobile,BR-023,T24_Core,
TXN-300162,ACCT-20041,CUST-10004,45621,Deposit,33303.24,USD,Customer refund,Wire,BR-029,T24_Core,
TXN-300163,ACCT-20150,CUST-10126,45552,Transfer,43661.56,USD,Gas station,Branch,BR-007,T24_Core,
TXN-300164,ACCT-20133,CUST-10086,45789,ACH Credit,22633.55,USD,Payroll deposit,Online,BR-027,T24_Core,
TXN-300165,ACCT-20249,CUST-10133,45434,ACH Debit,38727.44,USD,Payroll deposit,Mobile,BR-078,T24_Core,
TXN-300166,ACCT-20222,CUST-10037,45771,Withdrawal,17862.93,USD,Online shopping,Mobile,BR-032,T24_Core,0.5776
TXN-300167,ACCT-20232,CUST-10071,45434,Interest,43857.82,USD,Vendor payment,Mobile,BR-006,T24_Core,
TXN-300168,ACCT-20064,CUST-10080,45888,Interest,9532.68,USD,Investment transfer,Branch,BR-062,JackHenry_Legacy,
TXN-300169,ACCT-20085,CUST-10038,45879,Withdrawal,23318.54,USD,Investment transfer,,BR-082,T24_Core,
TXN-300170,ACCT-20004,CUST-10056,45830,Deposit,14154.45,USD,Utility payment,Online,BR-021,T24_Core,
TXN-300171,ACCT-20046,CUST-10129,45740,Payment,33267.97,USD,International wire,Branch,BR-057,T24_Core,
TXN-300172,ACCT-20199,CUST-10057,45842,Fee,1611.67,USD,Investment transfer,ATM,BR-021,JackHenry_Legacy,
TXN-300173,ACCT-20104,CUST-10112,45730,ACH Debit,33947.77,USD,Online shopping,Branch,BR-011,T24_Core,
TXN-300174,ACCT-20225,CUST-10146,45368,ACH Credit,46356.3,USD,Vendor payment,ACH,BR-043,T24_Core,
TXN-300175,ACCT-20238,CUST-10120,45536,Wire,17712.92,USD,Rent payment,Wire,BR-043,T24_Core,
TXN-300176,ACCT-20152,CUST-10063,45478,Wire,29018.22,USD,Payroll deposit,POS,BR-058,JackHenry_Legacy,
TXN-300177,ACCT-20056,CUST-10118,45934,Fee,41960.71,USD,Check deposit,POS,BR-016,T24_Core,0.2702
TXN-300178,ACCT-20029,CUST-10032,45540,ACH Debit,37024.94,USD,Check deposit,ACH,BR-059,T24_Core,
TXN-300179,ACCT-20250,CUST-10078,45325,Deposit,31413.83,USD,Gas station,Branch,BR-065,JackHenry_Legacy,
TXN-300180,ACCT-20202,CUST-10025,45332,Wire,12364.07,USD,Check deposit,POS,BR-046,T24_Core,0.0247
TXN-300181,ACCT-20065,CUST-10140,45737,Deposit,13017.27,USD,Restaurant,ACH,BR-001,T24_Core,
TXN-300182,ACCT-20247,CUST-10044,45799,Withdrawal,25578.19,USD,Check deposit,Online,BR-009,T24_Core,
TXN-300183,ACCT-20016,CUST-10099,45873,POS Purchase,34884.15,USD,Wire transfer - domestic,,BR-038,T24_Core,0.4169
TXN-300184,ACCT-20023,CUST-10009,45731,Mobile Deposit,32257.22,USD,Cash deposit,ATM,BR-062,T24_Core,
TXN-300185,ACCT-20270,CUST-10129,45903,Transfer,42792.7,USD,Gas station,ACH,BR-057,JackHenry_Legacy,
TXN-300186,ACCT-20157,CUST-10087,45715,ATM Withdrawal,22976.79,USD,Check deposit,Mobile,BR-078,JackHenry_Legacy,
TXN-300187,ACCT-20271,CUST-10047,45739,Interest,28804.07,USD,Customer refund,POS,BR-020,T24_Core,
TXN-300188,ACCT-20051,CUST-10018,45526,ACH Credit,2251.23,USD,Vendor payment,POS,BR-050,T24_Core,
TXN-300189,ACCT-20217,CUST-10027,45311,Fee,44990.22,USD,Grocery purchase,,BR-025,T24_Core,
TXN-300190,ACCT-20091,CUST-10114,45711,ACH Credit,38168.78,USD,Wire transfer - domestic,ACH,BR-074,JackHenry_Legacy,
TXN-300191,ACCT-20148,CUST-10143,45406,Transfer,9990.72,USD,International wire,POS,BR-007,T24_Core,
TXN-300192,ACCT-20106,CUST-10023,45352,Interest,29107.49,USD,International wire,POS,BR-040,T24_Core,
TXN-300193,ACCT-20272,CUST-10088,45774,Payment,9269.29,USD,Check deposit,Online,BR-034,JackHenry_Legacy,
TXN-300194,ACCT-20194,CUST-10144,45568,Transfer,42671.81,USD,Direct deposit,Branch,BR-037,JackHenry_Legacy,
TXN-300195,ACCT-20130,CUST-10060,46003,Withdrawal,2578.69,USD,Restaurant,Branch,BR-068,JackHenry_Legacy,
TXN-300196,ACCT-20161,CUST-10148,45932,ACH Debit,12073.71,USD,Grocery purchase,Online,BR-067,T24_Core,
TXN-300197,ACCT-20032,CUST-10009,45400,Mobile Deposit,16905.57,USD,Vendor payment,ACH,BR-062,T24_Core,
TXN-300198,ACCT-20020,CUST-10061,45702,POS Purchase,24680.29,USD,Rent payment,Mobile,BR-062,T24_Core,
TXN-300199,ACCT-20181,CUST-10070,45879,Payment,36167.87,USD,Payroll deposit,Branch,BR-021,T24_Core,0.4966
TXN-300200,ACCT-20011,CUST-10137,45670,Wire,30408.9,USD,Gas station,Mobile,BR-008,JackHenry_Legacy,
TXN-300201,ACCT-20182,CUST-10036,45457,Deposit,5783.58,USD,Insurance premium,Wire,BR-041,T24_Core,0.6157
TXN-300202,ACCT-20276,CUST-10059,45319,Mobile Deposit,20656.21,USD,Insurance premium,Branch,BR-039,T24_Core,
TXN-300203,ACCT-20127,CUST-10033,45736,Wire,21930.6,USD,Check deposit,ACH,BR-040,T24_Core,
TXN-300204,ACCT-20184,CUST-10020,45527,Fee,12513.69,USD,Customer refund,Online,BR-043,T24_Core,
TXN-300205,ACCT-20055,CUST-10135,45457,Mobile Deposit,44649.46,USD,Check deposit,ATM,BR-050,T24_Core,
TXN-300206,ACCT-20192,CUST-10134,45299,Mobile Deposit,11530.64,USD,Cash deposit,Mobile,BR-059,T24_Core,
TXN-300207,ACCT-20045,CUST-10006,45440,POS Purchase,24947.88,USD,Wire transfer - domestic,POS,BR-011,T24_Core,0.278
TXN-300208,ACCT-20222,CUST-10099,45606,Deposit,22203.77,USD,Bill pay,Branch,BR-038,JackHenry_Legacy,
TXN-300209,ACCT-20112,CUST-10087,45467,POS Purchase,46135.32,USD,International wire,POS,BR-078,T24_Core,
TXN-300210,ACCT-20149,CUST-10028,45857,Mobile Deposit,27666.94,USD,Direct deposit,Mobile,BR-063,JackHenry_Legacy,
TXN-300211,ACCT-20045,CUST-10061,45545,Interest,6597.98,USD,Wire transfer - domestic,,BR-062,T24_Core,0.7996
TXN-300212,ACCT-20008,CUST-10093,45431,ATM Withdrawal,13441.02,USD,Vendor payment,POS,BR-082,T24_Core,
TXN-300213,ACCT-20185,CUST-10114,45989,ACH Debit,23138.9,USD,Online shopping,Wire,BR-074,T24_Core,
TXN-300214,ACCT-20227,CUST-10071,45437,Fee,44852.73,USD,Loan payment,ATM,BR-006,T24_Core,
TXN-300215,ACCT-20021,CUST-10045,45613,ACH Credit,7349.35,USD,Vendor payment,,BR-078,T24_Core,
TXN-300216,ACCT-20010,CUST-10016,45923,Deposit,47585.43,USD,Insurance premium,Branch,BR-043,JackHenry_Legacy,
TXN-300217,ACCT-20214,CUST-10114,45610,Fee,5663.56,USD,Gas station,,BR-074,JackHenry_Legacy,0.204
TXN-300218,ACCT-20242,CUST-10093,45931,Transfer,16752.61,USD,Customer refund,,BR-082,T24_Core,
