Score_ID,Customer_ID,Model_Name,Model_ID,Score_Date,Risk_Score,Confidence,Decision_Output,Feature_Count,Training_Data_Date,Model_Version,Validation_Date,Bias_Test_Date,Explainability_Available,Documentation_Status
SCR-70032,CUST-10076,Loan Default Prediction,MDL-007,45848,0.726,0.708,Deny,36,2023-01-15,v1.2,Unknown,Unknown,No,Draft
SCR-70033,CUST-10055,Loan Default Prediction,MDL-007,45684,0.1041,0.967,Approve,,Unknown,,Unknown,Never,Partial,Draft
SCR-70034,CUST-10011,Product Recommendation,MDL-005,45419,0.1866,0.865,Investment,12,2023-01-15,v2.3,Unknown,,Unknown,Draft
SCR-70035,CUST-10132,Product Recommendation,MDL-005,45406,0.5757,0.881,Mortgage,24,Unknown,v1.2,2022-12-01,Unknown,,
SCR-70036,CUST-10071,Small Business Underwriting,MDL-003,45619,0.3316,0.974,Approve,120,2023-01-15,v2.0,2023-06-15,,No,Partial
SCR-70037,CUST-10054,Customer Churn Prediction,MDL-004,45941,0.9697,0.886,High Risk,24,,,Never,Never,Yes,None
SCR-70038,CUST-10117,Personal Loan Underwriting,MDL-002,45572,0.5262,0.826,Refer,48,2021-11-01,v1.0,Never,,No,Partial
SCR-70039,CUST-10083,Loan Default Prediction,MDL-007,45629,0.9994,0.423,Deny,24,2021-11-01,Unknown,Unknown,,Unknown,None
SCR-70040,CUST-10129,Customer Service Chatbot,MDL-008,45358,0.8584,0.86,Escalate,12,2023-01-15,Unknown,2023-06-15,,Unknown,None
SCR-70041,CUST-10135,Small Business Underwriting,MDL-003,45984,0.9243,0.544,Deny,,Unknown,,,Unknown,Yes,None
SCR-70042,CUST-10055,Credit Card Fraud Detection,MDL-001,45332,0.3918,0.76,Pass,24,2023-01-15,Unknown,2022-12-01,,Yes,
SCR-70043,CUST-10058,Product Recommendation,MDL-005,45480,0.2313,0.713,Investment,36,2022-06-30,v1.2,2022-12-01,Unknown,,Partial
SCR-70044,CUST-10062,Personal Loan Underwriting,MDL-002,45414,0.4513,0.598,Refer,67,2022-06-30,Unknown,2022-12-01,,Yes,Draft
SCR-70045,CUST-10087,Credit Card Fraud Detection,MDL-001,45558,0.2376,0.952,Pass,24,2023-01-15,,Never,,Yes,None
SCR-70046,CUST-10015,Customer Churn Prediction,MDL-004,45304,0.5203,0.52,Low Risk,36,,v1.0,,Unknown,No,None
SCR-70047,CUST-10056,Small Business Underwriting,MDL-003,45492,0.254,0.601,Approve,24,,,Unknown,,,Partial
SCR-70048,CUST-10135,Customer Churn Prediction,MDL-004,45392,0.8314,0.571,High Risk,12,2021-11-01,v2.3,Never,,Partial,Partial
SCR-70049,CUST-10141,Customer Service Chatbot,MDL-008,45954,0.7367,0.712,Complaint,24,2023-01-15,v1.0,,,Yes,
SCR-70050,CUST-10130,Credit Card Fraud Detection,MDL-001,45796,0.3682,0.733,Pass,36,2023-01-15,,Unknown,,,Partial
SCR-70051,CUST-10147,Loan Default Prediction,MDL-007,45971,0.6238,0.769,Refer,,2023-01-15,Unknown,,Never,,Draft
SCR-70052,CUST-10146,Loan Default Prediction,MDL-007,45950,0.2482,0.595,Approve,48,2022-06-30,v1.2,2023-06-15,Never,No,Draft
SCR-70053,CUST-10111,Small Business Underwriting,MDL-003,45953,0.4042,0.73,Refer,12,2021-11-01,v2.3,Never,,Yes,None
SCR-70054,CUST-10008,Loan Default Prediction,MDL-007,45555,0.6419,0.503,Refer,48,Unknown,,2022-12-01,,No,
SCR-70055,CUST-10144,Small Business Underwriting,MDL-003,45457,0.757,0.893,Deny,24,2022-06-30,,2022-12-01,Unknown,Unknown,Draft
SCR-70056,CUST-10141,Credit Card Fraud Detection,MDL-001,45922,0.8046,0.863,Alert,36,,,,Never,,None
SCR-70057,CUST-10089,Loan Default Prediction,MDL-007,45551,0.4069,0.443,Refer,,2023-01-15,,Never,Never,,Draft
SCR-70058,CUST-10031,Marketing Campaign Targeting,MDL-006,45401,0.2519,0.513,Segment C,67,2021-11-01,v2.0,2023-06-15,Never,No,None
SCR-70059,CUST-10001,Customer Churn Prediction,MDL-004,45841,0.0065,0.903,Low Risk,12,2023-01-15,v2.3,2022-12-01,Never,Yes,None
SCR-70060,CUST-10086,Customer Churn Prediction,MDL-004,45902,0.8236,0.886,High Risk,67,2023-01-15,v2.0,2022-12-01,Never,Partial,None
SCR-70061,CUST-10105,Customer Service Chatbot,MDL-008,45975,0.7737,0.909,Escalate,36,2023-01-15,,,Never,Partial,Draft
SCR-70062,CUST-10127,Credit Card Fraud Detection,MDL-001,45641,0.4406,0.753,Pass,36,,v2.3,Never,Unknown,No,Draft
SCR-70063,CUST-10143,Credit Card Fraud Detection,MDL-001,45840,0.7987,0.84,Alert,36,2021-11-01,,2022-12-01,Never,Partial,None
SCR-70064,CUST-10135,Loan Default Prediction,MDL-007,45397,0.6746,0.555,Refer,48,2023-01-15,v1.2,,,No,Partial
SCR-70065,CUST-10103,Marketing Campaign Targeting,MDL-006,45373,0.1087,0.721,Segment A,24,2023-01-15,Unknown,Never,Never,Unknown,None
SCR-70066,CUST-10109,Customer Churn Prediction,MDL-004,45520,0.238,0.703,Low Risk,120,,v1.0,Never,Never,Unknown,None
SCR-70067,CUST-10079,Product Recommendation,MDL-005,45662,0.2646,0.429,Savings Account,,Unknown,Unknown,2023-06-15,Never,Unknown,Draft
SCR-70068,CUST-10014,Product Recommendation,MDL-005,45887,0.2365,0.521,Investment,24,2022-06-30,v2.3,Unknown,Unknown,,Partial
SCR-70069,CUST-10020,Small Business Underwriting,MDL-003,45343,0.014,0.495,Approve,48,Unknown,Unknown,Unknown,Never,,
SCR-70070,CUST-10126,Marketing Campaign Targeting,MDL-006,45775,0.7844,0.805,Segment D,48,2023-01-15,Unknown,Never,Unknown,Partial,None
SCR-70071,CUST-10087,Credit Card Fraud Detection,MDL-001,45530,0.2289,0.843,Pass,,,,2023-06-15,,Unknown,None
SCR-70072,CUST-10128,Loan Default Prediction,MDL-007,45303,0.2359,0.639,Approve,12,,Unknown,Never,Never,No,Partial
SCR-70073,CUST-10090,Customer Churn Prediction,MDL-004,45682,0.3279,0.494,Low Risk,120,2021-11-01,v2.3,2023-06-15,Unknown,Partial,None
SCR-70074,CUST-10019,Small Business Underwriting,MDL-003,45462,0.5228,0.854,Refer,,,Unknown,2023-06-15,Unknown,,
SCR-70075,CUST-10061,Product Recommendation,MDL-005,45356,0.43,0.759,Investment,12,Unknown,v1.0,2022-12-01,Unknown,No,
SCR-70076,CUST-10065,Loan Default Prediction,MDL-007,46011,0.5074,0.572,Refer,24,2023-01-15,v2.0,,,,
SCR-70077,CUST-10010,Customer Service Chatbot,MDL-008,45548,0.6953,0.66,Product Info,,,v2.3,Never,Unknown,No,None
SCR-70078,CUST-10071,Customer Service Chatbot,MDL-008,45889,0.3804,0.446,Escalate,,,Unknown,Never,Unknown,,None
SCR-70079,CUST-10040,Customer Service Chatbot,MDL-008,45993,0.837,0.476,Escalate,120,2021-11-01,v1.0,Unknown,Unknown,No,Partial
SCR-70080,CUST-10014,Marketing Campaign Targeting,MDL-006,45862,0.6955,0.921,Segment C,120,,Unknown,2023-06-15,Never,Yes,Partial
SCR-70081,CUST-10139,Product Recommendation,MDL-005,45548,0.1759,0.84,Investment,,2021-11-01,v2.3,Never,Never,Partial,
SCR-70082,CUST-10048,Product Recommendation,MDL-005,45865,0.6383,0.774,Savings Account,48,2022-06-30,Unknown,2022-12-01,Never,Partial,None
SCR-70083,CUST-10067,Small Business Underwriting,MDL-003,46007,0.0796,0.802,Approve,36,Unknown,v2.3,Never,Unknown,No,None
SCR-70084,CUST-10057,Customer Churn Prediction,MDL-004,45410,0.3433,0.759,Low Risk,24,2021-11-01,,Unknown,,Partial,None
SCR-70085,CUST-10133,Customer Service Chatbot,MDL-008,45894,0.2628,0.628,Escalate,67,Unknown,v1.2,2023-06-15,Never,Partial,
SCR-70086,CUST-10132,Personal Loan Underwriting,MDL-002,45946,0.8243,0.444,Deny,36,2023-01-15,v1.2,2022-12-01,Unknown,Partial,
SCR-70087,CUST-10069,Customer Churn Prediction,MDL-004,45780,0.7935,0.451,High Risk,120,Unknown,v2.3,2023-06-15,,Partial,Partial
SCR-70088,CUST-10056,Personal Loan Underwriting,MDL-002,45893,0.7289,0.616,Deny,24,2022-06-30,v2.3,Unknown,,Yes,None
SCR-70089,CUST-10039,Product Recommendation,MDL-005,45316,0.6971,0.78,Credit Card,120,2022-06-30,v2.3,Unknown,Unknown,,None
SCR-70090,CUST-10144,Customer Service Chatbot,MDL-008,45424,0.0601,0.832,Transfer,36,2022-06-30,Unknown,2022-12-01,Unknown,Partial,None
SCR-70091,CUST-10036,Small Business Underwriting,MDL-003,45840,0.9352,0.729,Deny,120,2021-11-01,Unknown,Unknown,,,None
SCR-70092,CUST-10077,Product Recommendation,MDL-005,45921,0.8626,0.482,Investment,120,2021-11-01,v2.3,,,,Draft
SCR-70093,CUST-10129,Small Business Underwriting,MDL-003,45640,0.1289,0.965,Approve,120,2023-01-15,v1.2,2023-06-15,Never,Yes,Partial
SCR-70094,CUST-10096,Product Recommendation,MDL-005,45623,0.6392,0.746,Savings Account,24,Unknown,v2.0,2023-06-15,Never,Yes,Draft
SCR-70095,CUST-10124,Marketing Campaign Targeting,MDL-006,45600,0.0338,0.52,Segment D,67,Unknown,v2.0,2022-12-01,Unknown,,None
SCR-70096,CUST-10126,Loan Default Prediction,MDL-007,45488,0.1441,0.968,Approve,,Unknown,,Unknown,Never,Yes,Partial
SCR-70097,CUST-10132,Marketing Campaign Targeting,MDL-006,45542,0.9848,0.815,Segment C,36,2021-11-01,v1.0,Never,Never,Yes,Partial
SCR-70098,CUST-10037,Customer Churn Prediction,MDL-004,45304,0.8787,0.781,High Risk,12,2023-01-15,Unknown,Never,,Partial,None
SCR-70099,CUST-10053,Small Business Underwriting,MDL-003,45855,0.7175,0.673,Deny,24,,v1.2,Never,,Unknown,None
SCR-70100,CUST-10067,Marketing Campaign Targeting,MDL-006,45744,0.7468,0.614,Segment C,12,Unknown,v1.2,2022-12-01,Never,,None
SCR-70101,CUST-10142,Loan Default Prediction,MDL-007,45709,0.2411,0.46,Approve,,2022-06-30,v1.0,Unknown,Unknown,No,Partial
SCR-70102,CUST-10056,Customer Service Chatbot,MDL-008,45449,0.9258,0.787,Transfer,36,2022-06-30,Unknown,2022-12-01,Unknown,No,None
SCR-70103,CUST-10026,Small Business Underwriting,MDL-003,45606,0.7328,0.872,Deny,48,2021-11-01,Unknown,Never,Never,No,Draft
SCR-70104,CUST-10063,Marketing Campaign Targeting,MDL-006,45791,0.7894,0.905,Segment B,24,,,Unknown,Unknown,Unknown,Partial
SCR-70105,CUST-10101,Small Business Underwriting,MDL-003,45796,0.2898,0.956,Approve,,2021-11-01,,2023-06-15,Never,Unknown,
SCR-70106,CUST-10001,Customer Service Chatbot,MDL-008,45769,0.1868,0.503,Account Balance,,2021-11-01,v2.3,2023-06-15,Never,Unknown,Draft
SCR-70107,CUST-10149,Small Business Underwriting,MDL-003,45352,0.9512,0.958,Deny,24,2022-06-30,v2.0,Unknown,Unknown,Yes,
SCR-70108,CUST-10045,Customer Churn Prediction,MDL-004,45956,0.0377,0.426,Low Risk,,2021-11-01,Unknown,2022-12-01,Unknown,Unknown,Draft
SCR-70109,CUST-10096,Customer Churn Prediction,MDL-004,45683,0.6673,0.611,High Risk,12,2022-06-30,v1.0,,,No,None
SCR-70110,CUST-10147,Personal Loan Underwriting,MDL-002,45723,0.8552,0.739,Deny,24,2023-01-15,v1.2,2022-12-01,Never,,Draft
SCR-70111,CUST-10024,Credit Card Fraud Detection,MDL-001,45311,0.3028,0.682,Pass,48,2023-01-15,Unknown,Unknown,,Yes,Partial
SCR-70112,CUST-10024,Customer Service Chatbot,MDL-008,45329,0.6087,0.468,Complaint,36,2023-01-15,,Unknown,,Unknown,Partial
SCR-70113,CUST-10030,Credit Card Fraud Detection,MDL-001,45842,0.6058,0.84,Pass,36,2022-06-30,v1.0,2023-06-15,Unknown,Yes,None
SCR-70114,CUST-10088,Small Business Underwriting,MDL-003,45402,0.6617,0.946,Refer,48,2023-01-15,v2.0,2022-12-01,Never,Unknown,None
SCR-70115,CUST-10054,Marketing Campaign Targeting,MDL-006,45904,0.5361,0.79,Segment D,36,Unknown,v1.2,2023-06-15,Never,Partial,None
SCR-70116,CUST-10135,Loan Default Prediction,MDL-007,45721,0.1406,0.599,Approve,67,,v1.2,2023-06-15,Unknown,No,Draft
SCR-70117,CUST-10098,Marketing Campaign Targeting,MDL-006,45648,0.8396,0.439,Segment A,120,2022-06-30,,2022-12-01,,Yes,None
SCR-70118,CUST-10117,Customer Churn Prediction,MDL-004,45911,0.1187,0.563,Low Risk,120,,v2.0,Never,Never,Yes,Draft
SCR-70119,CUST-10040,Personal Loan Underwriting,MDL-002,45700,0.0256,0.984,Approve,36,,v1.2,2022-12-01,,Partial,None
SCR-70120,CUST-10016,Small Business Underwriting,MDL-003,45481,0.4431,0.826,Refer,36,2022-06-30,v2.0,2022-12-01,Unknown,Yes,Draft
SCR-70121,CUST-10067,Marketing Campaign Targeting,MDL-006,45665,0.9529,0.494,Segment A,12,2023-01-15,v1.0,2022-12-01,,Unknown,None
SCR-70122,CUST-10095,Customer Service Chatbot,MDL-008,45818,0.4232,0.864,Escalate,,2022-06-30,v1.2,,,Yes,Partial
SCR-70123,CUST-10119,Product Recommendation,MDL-005,45298,0.4342,0.465,Mortgage,12,,Unknown,Never,Never,Unknown,None
SCR-70124,CUST-10024,Product Recommendation,MDL-005,45648,0.489,0.65,Credit Card,120,,v1.0,Never,Unknown,Yes,None
SCR-70125,CUST-10016,Marketing Campaign Targeting,MDL-006,45384,0.4635,0.515,Segment A,,2022-06-30,v2.0,2023-06-15,Never,Partial,Draft
SCR-70126,CUST-10126,Product Recommendation,MDL-005,45310,0.3002,0.873,Savings Account,,2022-06-30,v2.0,2022-12-01,Unknown,Partial,None
SCR-70127,CUST-10110,Loan Default Prediction,MDL-007,45450,0.5962,0.693,Refer,48,2021-11-01,v2.3,Never,,Partial,None
SCR-70128,CUST-10112,Loan Default Prediction,MDL-007,45374,0.8232,0.447,Deny,,2023-01-15,v1.0,2023-06-15,,Unknown,None
SCR-70129,CUST-10026,Loan Default Prediction,MDL-007,45324,0.3106,0.595,Approve,,2021-11-01,v2.3,Unknown,Never,Partial,None
SCR-70130,CUST-10068,Credit Card Fraud Detection,MDL-001,45645,0.5856,0.721,Pass,67,2021-11-01,v1.0,,Never,Yes,Draft
SCR-70131,CUST-10011,Small Business Underwriting,MDL-003,45988,0.2555,0.759,Approve,,,Unknown,2022-12-01,,No,None
SCR-70132,CUST-10119,Customer Churn Prediction,MDL-004,45948,0.5903,0.804,Low Risk,67,2023-01-15,v2.3,Unknown,Never,No,Partial
SCR-70133,CUST-10074,Customer Service Chatbot,MDL-008,45376,0.9525,0.686,Escalate,120,,v1.2,Never,Unknown,,
SCR-70134,CUST-10150,Product Recommendation,MDL-005,45345,0.5685,0.467,Mortgage,67,2022-06-30,v2.3,Never,Never,No,None
SCR-70135,CUST-10132,Credit Card Fraud Detection,MDL-001,45336,0.4607,0.933,Pass,12,2022-06-30,,2023-06-15,Unknown,Partial,None
SCR-70136,CUST-10061,Personal Loan Underwriting,MDL-002,45720,0.3694,0.814,Approve,24,,v1.0,2022-12-01,Unknown,,Draft
SCR-70137,CUST-10019,Credit Card Fraud Detection,MDL-001,45905,0.9705,0.948,Alert,36,2023-01-15,v2.3,,Unknown,,Partial
SCR-70138,CUST-10130,Customer Service Chatbot,MDL-008,45430,0.3738,0.95,Escalate,12,,v2.3,,,Yes,Partial
SCR-70139,CUST-10098,Customer Churn Prediction,MDL-004,45368,0.5634,0.577,Low Risk,,2021-11-01,v2.0,Never,Unknown,Unknown,
SCR-70140,CUST-10119,Small Business Underwriting,MDL-003,45982,0.7262,0.631,Deny,12,Unknown,v1.0,2022-12-01,,No,None
SCR-70141,CUST-10023,Product Recommendation,MDL-005,45921,0.7901,0.65,Investment,48,2022-06-30,v2.3,,Unknown,,
SCR-70142,CUST-10086,Customer Churn Prediction,MDL-004,45956,0.7229,0.609,High Risk,,2022-06-30,v2.0,2023-06-15,Unknown,Unknown,Draft
SCR-70143,CUST-10099,Loan Default Prediction,MDL-007,45666,0.5468,0.825,Refer,,2021-11-01,v2.0,Never,Never,Unknown,None
SCR-70144,CUST-10144,Small Business Underwriting,MDL-003,45955,0.338,0.628,Approve,48,,v2.0,2022-12-01,Unknown,No,None
SCR-70145,CUST-10069,Customer Churn Prediction,MDL-004,45478,0.5346,0.714,Low Risk,67,,v2.3,Never,Unknown,Unknown,
SCR-70146,CUST-10109,Personal Loan Underwriting,MDL-002,45341,0.0221,0.891,Approve,48,Unknown,,2022-12-01,Unknown,No,Partial
SCR-70147,CUST-10028,Loan Default Prediction,MDL-007,45449,0.2326,0.68,Approve,48,2023-01-15,v2.0,,Unknown,,None
SCR-70148,CUST-10086,Loan Default Prediction,MDL-007,45802,0.7798,0.813,Deny,67,,v1.2,,Never,,None
SCR-70149,CUST-10082,Loan Default Prediction,MDL-007,45683,0.6503,0.915,Refer,,,v1.0,Unknown,Unknown,Unknown,None
SCR-70150,CUST-10067,Small Business Underwriting,MDL-003,45553,0.5945,0.738,Refer,12,,v2.3,2022-12-01,Never,Yes,Draft
SCR-70151,CUST-10114,Personal Loan Underwriting,MDL-002,45463,0.2709,0.705,Approve,36,,,Unknown,,,None
