Alert_ID,Transaction_ID,Customer_ID,Alert_Date,Model_Name,Model_Version,Fraud_Score,Alert_Priority,Transaction_Amount,Transaction_Type,Channel,Investigation_Status,Resolution,Resolution_Date,Analyst_ID,False_Positive,Customer_Duplicate_Flag
FRD-50042,TXN-300085,CUST-10066,45436,FICO Falcon Fraud Detection,Unknown,0.9834,Critical,19685.95,Wire Transfer,Online,Under Investigation,,,FA-002,,No
FRD-50043,TXN-300192,CUST-10127,45796,FICO Falcon Fraud Detection,,0.3788,Low,13720.74,ACH Debit,ACH,Closed,Suspicious - Monitoring,45618,,,No
FRD-50044,TXN-300013,CUST-10072,45878,FICO Falcon Fraud Detection,v2.8.5,0.8563,High,23501.5,ACH Debit,Online,Under Investigation,,,FA-006,,No
FRD-50045,TXN-300133,CUST-10104,45369,FICO Falcon Fraud Detection,v3.1.0,0.3354,Low,21119.98,Wire Transfer,Wire,Escalated,,,FA-004,,No
FRD-50046,TXN-300206,CUST-10040,45941,FICO Falcon Fraud Detection,v2.8.5,0.939,Critical,2074.17,Wire Transfer,ATM,Escalated,,,FA-004,,No
FRD-50047,TXN-300223,CUST-10017,45489,FICO Falcon Fraud Detection,v3.2.1,0.8347,High,8377.96,ACH Debit,POS,Open,,,FA-003,,No
FRD-50048,TXN-300209,CUST-10061,45757,FICO Falcon Fraud Detection,v3.1.0,0.6357,Medium,15283.79,Wire Transfer,ACH,Closed,Customer Verified,45576,FA-005,,No
FRD-50049,TXN-300078,CUST-10097,45872,FICO Falcon Fraud Detection,v3.1.0,0.8887,High,24796.34,POS Purchase,Online,Open,,,FA-002,,No
FRD-50050,TXN-300184,CUST-10009,45297,FICO Falcon Fraud Detection,v2.8.5,0.3921,Low,8287.04,POS Purchase,ATM,Escalated,,,FA-001,,No
FRD-50051,TXN-300202,CUST-10011,45697,FICO Falcon Fraud Detection,,0.7239,High,7321.14,ATM Withdrawal,POS,Under Investigation,,,,,No
FRD-50052,TXN-300082,CUST-10073,45524,FICO Falcon Fraud Detection,v3.1.0,0.3956,Low,17241.35,POS Purchase,Online,Closed,,,,,No
FRD-50053,TXN-300262,CUST-10087,45798,FICO Falcon Fraud Detection,Unknown,0.7589,High,10478.34,Wire Transfer,ACH,Closed,Customer Verified,45755,FA-004,,No
FRD-50054,TXN-300077,CUST-10039,45509,FICO Falcon Fraud Detection,v3.1.0,0.7852,High,18083.1,ACH Debit,ACH,Open,,,FA-006,,No
FRD-50055,TXN-300284,CUST-10082,45998,FICO Falcon Fraud Detection,Unknown,0.6997,Medium,16421.73,ACH Debit,Wire,Closed,Customer Verified,45759,FA-001,,No
FRD-50056,TXN-300256,CUST-10013,45974,FICO Falcon Fraud Detection,v2.8.5,0.3217,Low,11267.83,ACH Debit,Online,Escalated,,,FA-006,,No
FRD-50057,TXN-300130,CUST-10081,45704,FICO Falcon Fraud Detection,v2.8.5,0.9611,Critical,3746.79,Wire Transfer,Wire,Under Investigation,,,FA-005,,No
FRD-50058,TXN-300215,CUST-10127,45312,FICO Falcon Fraud Detection,v2.8.5,0.9604,Critical,17798.56,ATM Withdrawal,ACH,Under Investigation,,,FA-003,,No
FRD-50059,TXN-300172,CUST-10001,45913,FICO Falcon Fraud Detection,,0.3722,Low,24841.1,ATM Withdrawal,ATM,Under Investigation,,,FA-002,,No
FRD-50060,TXN-300282,CUST-10112,45925,FICO Falcon Fraud Detection,Unknown,0.8311,High,1160.62,ACH Debit,POS,Open,,,FA-004,,No
FRD-50061,TXN-300294,CUST-10017,45470,FICO Falcon Fraud Detection,,0.6274,Medium,5611.34,ACH Debit,ACH,Closed,Customer Verified,45404,FA-005,,No
FRD-50062,TXN-300022,CUST-10066,45512,FICO Falcon Fraud Detection,Unknown,0.5724,Medium,106.15,POS Purchase,POS,Open,,,,,No
FRD-50063,TXN-300158,CUST-10071,45523,FICO Falcon Fraud Detection,v3.1.0,0.6693,Medium,13375.55,ATM Withdrawal,ACH,Closed,Confirmed Fraud,45395,FA-005,No,No
FRD-50064,TXN-300042,CUST-10085,45969,FICO Falcon Fraud Detection,Unknown,0.4223,Low,566.24,Wire Transfer,ACH,Under Investigation,,,FA-002,,No
FRD-50065,TXN-300106,CUST-10075,45447,FICO Falcon Fraud Detection,v2.8.5,0.7635,High,7771.84,ATM Withdrawal,ATM,Closed,False Positive,45327,,Yes,No
FRD-50066,TXN-300035,CUST-10032,45720,FICO Falcon Fraud Detection,Unknown,0.8886,High,8471.37,ATM Withdrawal,ATM,Open,,,FA-004,,No
FRD-50067,TXN-300184,CUST-10032,45449,FICO Falcon Fraud Detection,Unknown,0.6321,Medium,20174.72,ATM Withdrawal,ACH,Escalated,,,FA-006,,No
FRD-50068,TXN-300085,CUST-10005,45449,FICO Falcon Fraud Detection,,0.9285,Critical,20389.69,ATM Withdrawal,Wire,Open,,,FA-004,,No
FRD-50069,TXN-300110,CUST-10090,45402,FICO Falcon Fraud Detection,Unknown,0.3206,Low,19347.91,POS Purchase,Wire,Closed,Customer Verified,45925,FA-004,,No
FRD-50070,TXN-300023,CUST-10100,45511,FICO Falcon Fraud Detection,v3.2.1,0.5223,Medium,14294.94,POS Purchase,ACH,Escalated,,,FA-006,,No
FRD-50071,TXN-300239,CUST-10087,45378,FICO Falcon Fraud Detection,v3.2.1,0.5867,Medium,14886.48,ATM Withdrawal,POS,Open,,,FA-005,,No
FRD-50072,TXN-300164,CUST-10035,45430,FICO Falcon Fraud Detection,Unknown,0.6267,Medium,7371.61,POS Purchase,POS,Escalated,,,FA-003,,No
FRD-50073,TXN-300212,CUST-10036,45547,FICO Falcon Fraud Detection,v3.2.1,0.7802,High,12482.26,ACH Debit,Online,Closed,False Positive,45301,FA-003,Yes,No
FRD-50074,TXN-300053,CUST-10048,45692,FICO Falcon Fraud Detection,v2.8.5,0.7911,High,19211.57,ACH Debit,POS,Under Investigation,,,FA-002,,No
FRD-50075,TXN-300143,CUST-10055,45925,FICO Falcon Fraud Detection,,0.7017,High,22828.68,POS Purchase,ATM,Open,,,FA-005,,No
FRD-50076,TXN-300022,CUST-10077,45841,FICO Falcon Fraud Detection,v2.8.5,0.9254,Critical,6762.75,POS Purchase,Wire,Escalated,,,FA-001,,No
FRD-50077,TXN-300023,CUST-10025,45821,FICO Falcon Fraud Detection,,0.9548,Critical,2716.93,Wire Transfer,ATM,Open,,,FA-005,,No
FRD-50078,TXN-300293,CUST-10064,45622,FICO Falcon Fraud Detection,v3.2.1,0.3566,Low,11784.38,Wire Transfer,Wire,Under Investigation,,,FA-006,,No
FRD-50079,TXN-300141,CUST-10062,45522,FICO Falcon Fraud Detection,v3.1.0,0.9829,Critical,1531.32,Wire Transfer,ATM,Open,,,FA-006,,No
FRD-50080,TXN-300209,CUST-10100,45940,FICO Falcon Fraud Detection,v2.8.5,0.4328,Low,6263.32,POS Purchase,Online,Escalated,,,FA-003,,No
FRD-50081,TXN-300099,CUST-10128,45996,FICO Falcon Fraud Detection,,0.301,Low,4649.73,ATM Withdrawal,POS,Open,,,FA-006,,No
