Account_ID,Customer_ID,Account_Type,Business_Line,Product_Name,Open_Date,Status,Current_Balance,Currency,Interest_Rate,Branch_ID,Source_System,Last_Transaction_Date
ACCT-20024,CUST-10011,Checking,Retail Banking,Personal Checking Plus,44774,Active,17526.96,USD,,BR-002,T24_Core,45313
ACCT-20025,CUST-10011,Credit Card,Retail Banking,Platinum Rewards Card,45492,Active,133291.6,USD,,BR-002,JackHenry_Legacy,45883
ACCT-20026,CUST-10012,Checking,Retail Banking,Personal Checking Plus,40834,Active,270110.35,USD,,BR-071,T24_Core,45840
ACCT-20027,CUST-10012,Checking,Retail Banking,Personal Checking Plus,42062,Active,182741.15,USD,,BR-071,T24_Core,45369
ACCT-20028,CUST-10013,Credit Card,Retail Banking,Platinum Rewards Card,42421,Active,330400.97,USD,,BR-070,T24_Core,45611
ACCT-20029,CUST-10014,Savings,Retail Banking,High Yield Savings,43571,Active,70057.48,USD,1.85,BR-032,T24_Core,45887
ACCT-20030,CUST-10014,Credit Card,Retail Banking,Platinum Rewards Card,40355,Active,483290.41,USD,,BR-032,T24_Core,45408
ACCT-20031,CUST-10014,Investment,Retail Banking,Managed Portfolio,45174,Dormant,229239.35,USD,,BR-032,T24_Core,45315
ACCT-20032,CUST-10015,Credit Card,Retail Banking,Platinum Rewards Card,45567,Active,326950.38,USD,,BR-004,T24_Core,45372
ACCT-20033,CUST-10016,Mortgage,Retail Banking,30-Year Fixed Mortgage,45202,Active,410387.54,USD,1.18,BR-043,T24_Core,45956
ACCT-20034,CUST-10017,Savings,Retail Banking,High Yield Savings,45282,Active,31648.74,USD,1.92,BR-060,T24_Core,45615
ACCT-20035,CUST-10017,Investment,Retail Banking,Managed Portfolio,44676,Active,68750.97,USD,,BR-060,JackHenry_Legacy,45446
ACCT-20036,CUST-10017,Checking,Retail Banking,Personal Checking Plus,41255,Active,137019.29,USD,,BR-060,T24_Core,45766
ACCT-20037,CUST-10018,Savings,Retail Banking,High Yield Savings,44621,Active,50073.93,USD,6.43,BR-050,T24_Core,45297
ACCT-20038,CUST-10019,Investment,Retail Banking,Managed Portfolio,44796,Active,443468.88,USD,,BR-021,T24_Core,45605
ACCT-20039,CUST-10020,Credit Card,Retail Banking,Platinum Rewards Card,43801,Dormant,206074.46,USD,,BR-043,T24_Core,45933
ACCT-20040,CUST-10020,Mortgage,Retail Banking,30-Year Fixed Mortgage,40790,Dormant,173992,USD,0.53,BR-043,T24_Core,45529
ACCT-20041,CUST-10020,Savings,Retail Banking,High Yield Savings,44059,Active,138285.65,USD,1.86,BR-043,T24_Core,45312
ACCT-20042,CUST-10021,Mortgage,Retail Banking,30-Year Fixed Mortgage,45506,Active,104873.92,USD,2.26,BR-022,T24_Core,45377
ACCT-20043,CUST-10021,Checking,Retail Banking,Personal Checking Plus,45406,Active,242582.19,USD,,BR-022,JackHenry_Legacy,45845
ACCT-20044,CUST-10022,Mortgage,Retail Banking,30-Year Fixed Mortgage,41622,Active,115108.61,USD,1.27,BR-045,T24_Core,45338
ACCT-20045,CUST-10022,Investment,Retail Banking,Managed Portfolio,41019,Active,242255.42,USD,,BR-045,T24_Core,45813
ACCT-20046,CUST-10022,Credit Card,Retail Banking,Platinum Rewards Card,41740,Active,359938.63,USD,,BR-045,T24_Core,45417
ACCT-20047,CUST-10023,Credit Card,Retail Banking,Platinum Rewards Card,42104,Dormant,229343.6,USD,,BR-040,T24_Core,45583
ACCT-20048,CUST-10024,Checking,Retail Banking,Personal Checking Plus,45035,Active,205906.9,USD,,BR-056,T24_Core,45681
ACCT-20049,CUST-10025,Savings,Retail Banking,High Yield Savings,45570,Dormant,123990.94,USD,3.54,BR-046,T24_Core,45659
ACCT-20050,CUST-10025,Credit Card,Retail Banking,Platinum Rewards Card,42626,Active,366764.8,USD,,BR-046,T24_Core,45877
ACCT-20051,CUST-10026,Investment,Retail Banking,Managed Portfolio,42465,Active,376564.04,USD,,BR-061,T24_Core,45599
ACCT-20052,CUST-10027,Credit Card,Retail Banking,Platinum Rewards Card,43032,Dormant,334550.9,USD,,BR-025,T24_Core,45894
ACCT-20053,CUST-10028,Credit Card,Retail Banking,Platinum Rewards Card,44066,Closed,92554.37,USD,,BR-063,T24_Core,45496
ACCT-20054,CUST-10029,Investment,Retail Banking,Managed Portfolio,41993,Active,16453.82,USD,,BR-034,JackHenry_Legacy,45599
ACCT-20055,CUST-10029,Investment,Retail Banking,Managed Portfolio,40443,Active,440435.54,USD,,BR-034,T24_Core,45485
ACCT-20056,CUST-10030,Investment,Retail Banking,Managed Portfolio,44097,Active,20533.08,USD,,BR-083,JackHenry_Legacy,45362
ACCT-20057,CUST-10030,Savings,Retail Banking,High Yield Savings,44862,Active,269862.95,USD,5.04,BR-083,T24_Core,45817
ACCT-20058,CUST-10031,Credit Card,Retail Banking,Platinum Rewards Card,42964,Active,138644.95,USD,,BR-012,T24_Core,46009
ACCT-20059,CUST-10031,Investment,Retail Banking,Managed Portfolio,42331,Active,449735.65,USD,,BR-012,T24_Core,45691
ACCT-20060,CUST-10031,Credit Card,Retail Banking,Platinum Rewards Card,40580,Active,448983.14,USD,,BR-012,T24_Core,45509
ACCT-20061,CUST-10032,Investment,Retail Banking,Managed Portfolio,44079,Active,476057.17,USD,,BR-059,T24_Core,45893
ACCT-20062,CUST-10033,Checking,Retail Banking,Personal Checking Plus,45190,Active,145829.25,USD,,BR-040,T24_Core,45982
ACCT-20063,CUST-10033,Mortgage,Retail Banking,30-Year Fixed Mortgage,43327,Active,243125.58,USD,5.16,BR-040,JackHenry_Legacy,45418
ACCT-20064,CUST-10033,Mortgage,Retail Banking,30-Year Fixed Mortgage,44931,Active,113468.29,USD,3.1,BR-040,T24_Core,45736
ACCT-20065,CUST-10034,Investment,Retail Banking,Managed Portfolio,45283,Closed,142694.77,USD,,BR-044,T24_Core,45386
ACCT-20066,CUST-10035,Mortgage,Retail Banking,30-Year Fixed Mortgage,41540,Active,287305.13,USD,3.59,BR-085,T24_Core,45728
ACCT-20067,CUST-10036,Investment,Retail Banking,Managed Portfolio,40556,Active,487735.29,USD,,BR-041,T24_Core,45813
ACCT-20068,CUST-10036,Checking,Retail Banking,Personal Checking Plus,43272,Active,485078.07,USD,,BR-041,T24_Core,45952
ACCT-20069,CUST-10037,Investment,Retail Banking,Managed Portfolio,42342,Active,364299.04,USD,,BR-032,T24_Core,45614
ACCT-20070,CUST-10038,Mortgage,Retail Banking,30-Year Fixed Mortgage,42046,Active,12495.32,USD,4.82,BR-082,JackHenry_Legacy,45582
ACCT-20071,CUST-10039,Mortgage,Retail Banking,30-Year Fixed Mortgage,44138,Active,97938.27,USD,1.09,BR-029,T24_Core,45515
ACCT-20072,CUST-10040,Investment,Retail Banking,Managed Portfolio,42452,Active,255826.77,USD,,BR-044,T24_Core,45809
ACCT-20073,CUST-10040,Mortgage,Retail Banking,30-Year Fixed Mortgage,43138,Active,172525.61,USD,2.66,BR-044,T24_Core,45783
ACCT-20074,CUST-10040,Credit Card,Retail Banking,Platinum Rewards Card,45219,Active,364329.9,USD,,BR-044,T24_Core,45428
ACCT-20075,CUST-10041,Mortgage,Retail Banking,30-Year Fixed Mortgage,40557,Closed,33151.28,USD,7.22,BR-079,T24_Core,45734
ACCT-20076,CUST-10041,Credit Card,Retail Banking,Platinum Rewards Card,41005,Active,355152.48,USD,,BR-079,T24_Core,45684
ACCT-20077,CUST-10041,Mortgage,Retail Banking,30-Year Fixed Mortgage,42826,Active,417309.14,USD,2.63,BR-079,T24_Core,45798
ACCT-20078,CUST-10042,Credit Card,Retail Banking,Platinum Rewards Card,41826,Active,62176.04,USD,,BR-079,T24_Core,45347
ACCT-20079,CUST-10042,Mortgage,Retail Banking,30-Year Fixed Mortgage,42293,Dormant,246575.81,USD,7.29,BR-079,T24_Core,45983
ACCT-20080,CUST-10042,Credit Card,Retail Banking,Platinum Rewards Card,42271,Dormant,487131.95,USD,,BR-079,T24_Core,45735
ACCT-20081,CUST-10043,Savings,Retail Banking,High Yield Savings,40917,Active,159908.59,USD,6.65,BR-009,T24_Core,45667
ACCT-20082,CUST-10044,Investment,Retail Banking,Managed Portfolio,44871,Active,319509.37,USD,,BR-009,JackHenry_Legacy,45546
ACCT-20083,CUST-10044,Mortgage,Retail Banking,30-Year Fixed Mortgage,44188,Active,413428.32,USD,5.29,BR-009,T24_Core,45717
ACCT-20084,CUST-10045,Investment,Retail Banking,Managed Portfolio,42527,Active,140780.74,USD,,BR-078,T24_Core,45543
ACCT-20085,CUST-10046,Investment,Retail Banking,Managed Portfolio,43366,Active,306752.84,USD,,BR-033,T24_Core,45872
ACCT-20086,CUST-10047,Savings,Retail Banking,High Yield Savings,42090,Active,461712.54,USD,3.86,BR-020,JackHenry_Legacy,45739
ACCT-20087,CUST-10048,Checking,Retail Banking,Personal Checking Plus,41248,Active,372255.66,USD,,BR-019,T24_Core,45387
ACCT-20088,CUST-10048,Checking,Retail Banking,Personal Checking Plus,40575,Active,212460.06,USD,,BR-019,T24_Core,45386
ACCT-20089,CUST-10049,Investment,Retail Banking,Managed Portfolio,45414,Active,296628.77,USD,,BR-045,T24_Core,45348
ACCT-20090,CUST-10050,Investment,Retail Banking,Managed Portfolio,41225,Active,102780.05,USD,,BR-010,T24_Core,45635
ACCT-20091,CUST-10051,Mortgage,Retail Banking,30-Year Fixed Mortgage,43572,Dormant,176166.42,USD,6.49,BR-051,T24_Core,45590
ACCT-20092,CUST-10051,Checking,Retail Banking,Personal Checking Plus,41723,Active,264466.49,USD,,BR-051,T24_Core,45399
ACCT-20093,CUST-10051,Credit Card,Retail Banking,Platinum Rewards Card,43043,Active,183294.87,USD,,BR-051,T24_Core,45845
ACCT-20094,CUST-10052,Savings,Retail Banking,High Yield Savings,42783,Active,203848.23,USD,5.83,BR-073,T24_Core,46001
ACCT-20095,CUST-10052,Investment,Retail Banking,Managed Portfolio,42779,Active,361096.07,USD,,BR-073,T24_Core,45988
ACCT-20096,CUST-10052,Credit Card,Retail Banking,Platinum Rewards Card,45114,Active,113014.13,USD,,BR-073,T24_Core,45717
ACCT-20097,CUST-10053,Credit Card,Retail Banking,Platinum Rewards Card,43426,Active,336080.53,USD,,BR-060,T24_Core,45486
ACCT-20098,CUST-10053,Investment,Retail Banking,Managed Portfolio,45354,Active,488787.67,USD,,BR-060,T24_Core,45767
ACCT-20099,CUST-10053,Credit Card,Retail Banking,Platinum Rewards Card,44417,Dormant,61468.81,USD,,BR-060,JackHenry_Legacy,45974
ACCT-20100,CUST-10054,Credit Card,Retail Banking,Platinum Rewards Card,42987,Active,333371.84,USD,,BR-050,T24_Core,45331
ACCT-20101,CUST-10054,Credit Card,Retail Banking,Platinum Rewards Card,40912,Active,248687.16,USD,,BR-050,T24_Core,45962
ACCT-20102,CUST-10055,Credit Card,Retail Banking,Platinum Rewards Card,41932,Active,302331.5,USD,,BR-017,T24_Core,45876
ACCT-20103,CUST-10056,Credit Card,Retail Banking,Platinum Rewards Card,42265,Active,245176.16,USD,,BR-021,T24_Core,45701
ACCT-20104,CUST-10056,Credit Card,Retail Banking,Platinum Rewards Card,42737,Active,157348.14,USD,,BR-021,JackHenry_Legacy,45997
ACCT-20105,CUST-10057,Credit Card,Retail Banking,Platinum Rewards Card,42785,Closed,67330.67,USD,,BR-021,T24_Core,45887
ACCT-20106,CUST-10057,Savings,Retail Banking,High Yield Savings,42665,Active,253391.86,USD,3.24,BR-021,T24_Core,45658
ACCT-20107,CUST-10058,Checking,Retail Banking,Personal Checking Plus,44914,Active,64186.21,USD,,BR-050,T24_Core,45702
ACCT-20108,CUST-10058,Mortgage,Retail Banking,30-Year Fixed Mortgage,41385,Active,495973.57,USD,3.38,BR-050,JackHenry_Legacy,45629
ACCT-20109,CUST-10058,Mortgage,Retail Banking,30-Year Fixed Mortgage,40412,Active,57324.2,USD,1.69,BR-050,JackHenry_Legacy,45778
ACCT-20110,CUST-10059,Credit Card,Retail Banking,Platinum Rewards Card,42656,Active,294035.82,USD,,BR-039,JackHenry_Legacy,45508
ACCT-20111,CUST-10059,Savings,Retail Banking,High Yield Savings,42083,Active,168050.13,USD,4.02,BR-039,T24_Core,45763
ACCT-20112,CUST-10059,Checking,Retail Banking,Personal Checking Plus,41761,Active,420206.21,USD,,BR-039,JackHenry_Legacy,45767
ACCT-20113,CUST-10060,Checking,Retail Banking,Personal Checking Plus,43625,Active,358881.65,USD,,BR-068,JackHenry_Legacy,45845
ACCT-20114,CUST-10060,Mortgage,Retail Banking,30-Year Fixed Mortgage,44695,Closed,397846.31,USD,5.06,BR-068,JackHenry_Legacy,45761
ACCT-20115,CUST-10060,Credit Card,Retail Banking,Platinum Rewards Card,44080,Active,125707.27,USD,,BR-068,JackHenry_Legacy,45581
ACCT-20116,CUST-10061,Credit Card,Retail Banking,Platinum Rewards Card,44862,Active,134041.18,USD,,BR-062,JackHenry_Legacy,45542
ACCT-20117,CUST-10062,Credit Card,Retail Banking,Platinum Rewards Card,43979,Active,73957.07,USD,,BR-052,T24_Core,45709
ACCT-20118,CUST-10062,Savings,Retail Banking,High Yield Savings,41051,Dormant,422998.89,USD,2.37,BR-052,T24_Core,45751
ACCT-20119,CUST-10063,Savings,Retail Banking,High Yield Savings,42992,Active,13949.32,USD,6.08,BR-058,T24_Core,45360
ACCT-20120,CUST-10064,Checking,Retail Banking,Personal Checking Plus,44080,Closed,129272.58,USD,,BR-048,T24_Core,45659
ACCT-20121,CUST-10065,Mortgage,Retail Banking,30-Year Fixed Mortgage,42543,Closed,300839.71,USD,6.57,BR-010,T24_Core,46018
ACCT-20122,CUST-10066,Savings,Retail Banking,High Yield Savings,43431,Dormant,56054.99,USD,5.64,BR-079,JackHenry_Legacy,45872
ACCT-20123,CUST-10067,Investment,Retail Banking,Managed Portfolio,42301,Active,61226.19,USD,,BR-039,T24_Core,45752
ACCT-20124,CUST-10068,Savings,Retail Banking,High Yield Savings,45201,Active,107132.91,USD,2.42,BR-004,JackHenry_Legacy,45995
ACCT-20125,CUST-10069,Investment,Retail Banking,Managed Portfolio,41710,Active,211948.28,USD,,BR-041,T24_Core,45678
ACCT-20126,CUST-10069,Investment,Retail Banking,Managed Portfolio,44584,Closed,17501.23,USD,,BR-041,T24_Core,45913
ACCT-20127,CUST-10070,Mortgage,Retail Banking,30-Year Fixed Mortgage,41499,Active,451588.23,USD,5.3,BR-021,T24_Core,45780
ACCT-20128,CUST-10070,Savings,Retail Banking,High Yield Savings,43050,Closed,148781.71,USD,6.52,BR-021,T24_Core,45440
ACCT-20129,CUST-10071,Credit Card,Retail Banking,Platinum Rewards Card,45100,Active,235598.53,USD,,BR-006,T24_Core,45635
ACCT-20130,CUST-10072,Checking,Retail Banking,Personal Checking Plus,45193,Active,175992.99,USD,,BR-005,T24_Core,45312
ACCT-20131,CUST-10072,Savings,Retail Banking,High Yield Savings,42481,Active,315115.16,USD,6.04,BR-005,T24_Core,45328
ACCT-20132,CUST-10072,Savings,Retail Banking,High Yield Savings,44648,Dormant,258231.31,USD,7.29,BR-005,T24_Core,45885
ACCT-20133,CUST-10073,Savings,Retail Banking,High Yield Savings,44688,Active,130413.87,USD,5.31,BR-075,T24_Core,45729
ACCT-20134,CUST-10073,Credit Card,Retail Banking,Platinum Rewards Card,41275,Active,472384.1,USD,,BR-075,JackHenry_Legacy,45337
ACCT-20135,CUST-10073,Savings,Retail Banking,High Yield Savings,43590,Active,130965.4,USD,6.46,BR-075,T24_Core,45569
ACCT-20136,CUST-10074,Investment,Retail Banking,Managed Portfolio,43055,Active,217635.85,USD,,BR-065,T24_Core,45410
ACCT-20137,CUST-10075,Mortgage,Retail Banking,30-Year Fixed Mortgage,41554,Active,373246.87,USD,3.17,BR-039,T24_Core,45730
ACCT-20138,CUST-10075,Savings,Retail Banking,High Yield Savings,42837,Dormant,14483.68,USD,7.33,BR-039,T24_Core,45307
ACCT-20139,CUST-10076,Mortgage,Retail Banking,30-Year Fixed Mortgage,42718,Dormant,487202.15,USD,3.28,BR-072,T24_Core,45340
ACCT-20140,CUST-10077,Checking,Retail Banking,Personal Checking Plus,45463,Closed,166497.98,USD,,BR-042,JackHenry_Legacy,45300
ACCT-20141,CUST-10078,Investment,Retail Banking,Managed Portfolio,43987,Active,190530.74,USD,,BR-065,T24_Core,45418
ACCT-20142,CUST-10078,Investment,Retail Banking,Managed Portfolio,42797,Active,246470.63,USD,,BR-065,JackHenry_Legacy,45725
ACCT-20143,CUST-10078,Checking,Retail Banking,Personal Checking Plus,42879,Active,156703.48,USD,,BR-065,T24_Core,45797
ACCT-20144,CUST-10079,Investment,Retail Banking,Managed Portfolio,42354,Active,156573.86,USD,,BR-050,JackHenry_Legacy,45664
ACCT-20145,CUST-10079,Savings,Retail Banking,High Yield Savings,41258,Active,27378.13,USD,1.78,BR-050,T24_Core,45672
ACCT-20146,CUST-10080,Investment,Retail Banking,Managed Portfolio,45288,Active,242651.24,USD,,BR-062,T24_Core,45695
ACCT-20147,CUST-10080,Mortgage,Retail Banking,30-Year Fixed Mortgage,41934,Dormant,90409.42,USD,1.68,BR-062,T24_Core,45560
ACCT-20148,CUST-10081,Savings,Retail Banking,High Yield Savings,43872,Active,208267.85,USD,1.04,BR-015,T24_Core,45485
ACCT-20149,CUST-10081,Investment,Retail Banking,Managed Portfolio,42064,Active,464581.31,USD,,BR-015,T24_Core,45890
ACCT-20150,CUST-10081,Mortgage,Retail Banking,30-Year Fixed Mortgage,44119,Active,297142.71,USD,0.54,BR-015,JackHenry_Legacy,45410
ACCT-20151,CUST-10082,Mortgage,Retail Banking,30-Year Fixed Mortgage,40733,Active,161653.11,USD,0.89,BR-009,T24_Core,45689
ACCT-20152,CUST-10083,Savings,Retail Banking,High Yield Savings,43894,Active,194312.6,USD,3.32,BR-060,T24_Core,46017
ACCT-20153,CUST-10084,Investment,Retail Banking,Managed Portfolio,45094,Active,65730.21,USD,,BR-057,T24_Core,45854
ACCT-20154,CUST-10084,Mortgage,Retail Banking,30-Year Fixed Mortgage,44732,Active,281572.23,USD,3.46,BR-057,T24_Core,45690
ACCT-20155,CUST-10085,Mortgage,Retail Banking,30-Year Fixed Mortgage,44271,Active,486638.57,USD,5.24,BR-007,JackHenry_Legacy,45427
ACCT-20156,CUST-10085,Credit Card,Retail Banking,Platinum Rewards Card,41703,Closed,39683.65,USD,,BR-007,T24_Core,45549
ACCT-20157,CUST-10085,Mortgage,Retail Banking,30-Year Fixed Mortgage,43148,Active,284310.99,USD,4.36,BR-007,T24_Core,45526
ACCT-20158,CUST-10086,Investment,Retail Banking,Managed Portfolio,43521,Active,406431.1,USD,,BR-027,T24_Core,45648
ACCT-20159,CUST-10086,Credit Card,Retail Banking,Platinum Rewards Card,42372,Active,89858.14,USD,,BR-027,T24_Core,45954
ACCT-20160,CUST-10086,Credit Card,Retail Banking,Platinum Rewards Card,44692,Active,378701.4,USD,,BR-027,T24_Core,45346
ACCT-20161,CUST-10087,Mortgage,Retail Banking,30-Year Fixed Mortgage,40363,Active,435820.74,USD,1.24,BR-078,T24_Core,45892
ACCT-20162,CUST-10087,Credit Card,Retail Banking,Platinum Rewards Card,43815,Active,434403.38,USD,,BR-078,JackHenry_Legacy,46013
ACCT-20163,CUST-10087,Credit Card,Retail Banking,Platinum Rewards Card,40915,Active,402339.9,USD,,BR-078,T24_Core,45298
ACCT-20164,CUST-10088,Savings,Retail Banking,High Yield Savings,44811,Active,324904.94,USD,3.55,BR-034,T24_Core,45732
ACCT-20165,CUST-10088,Credit Card,Retail Banking,Platinum Rewards Card,41266,Active,11006.23,USD,,BR-034,T24_Core,45685
ACCT-20166,CUST-10089,Investment,Retail Banking,Managed Portfolio,45109,Active,121390.56,USD,,BR-068,T24_Core,45624
ACCT-20167,CUST-10089,Credit Card,Retail Banking,Platinum Rewards Card,44489,Active,489745.52,USD,,BR-068,T24_Core,45517
ACCT-20168,CUST-10090,Investment,Retail Banking,Managed Portfolio,44051,Active,295560.53,USD,,BR-002,JackHenry_Legacy,45492
ACCT-20169,CUST-10090,Mortgage,Retail Banking,30-Year Fixed Mortgage,45508,Active,276672.52,USD,2.37,BR-002,JackHenry_Legacy,45892
ACCT-20170,CUST-10091,Checking,Retail Banking,Personal Checking Plus,42901,Active,80750.58,USD,,BR-012,JackHenry_Legacy,45587
ACCT-20171,CUST-10091,Mortgage,Retail Banking,30-Year Fixed Mortgage,42804,Active,460875.62,USD,6.47,BR-012,T24_Core,45895
ACCT-20172,CUST-10092,Investment,Retail Banking,Managed Portfolio,40863,Active,103683.57,USD,,BR-027,T24_Core,45371
ACCT-20173,CUST-10093,Checking,Retail Banking,Personal Checking Plus,42863,Active,396761.88,USD,,BR-082,JackHenry_Legacy,45303
ACCT-20174,CUST-10093,Mortgage,Retail Banking,30-Year Fixed Mortgage,45537,Active,178586.23,USD,1.61,BR-082,T24_Core,45708
ACCT-20175,CUST-10094,Checking,Retail Banking,Personal Checking Plus,42180,Active,281034.53,USD,,BR-047,JackHenry_Legacy,45744
ACCT-20176,CUST-10095,Investment,Retail Banking,Managed Portfolio,40416,Active,302184.31,USD,,BR-039,T24_Core,45585
ACCT-20177,CUST-10095,Checking,Retail Banking,Personal Checking Plus,41217,Active,411822.75,USD,,BR-039,T24_Core,45636
ACCT-20178,CUST-10095,Credit Card,Retail Banking,Platinum Rewards Card,44962,Closed,381006.15,USD,,BR-039,T24_Core,45720
ACCT-20179,CUST-10096,Credit Card,Retail Banking,Platinum Rewards Card,40295,Active,484821.37,USD,,BR-084,T24_Core,45906
ACCT-20180,CUST-10097,Mortgage,Retail Banking,30-Year Fixed Mortgage,43926,Active,186280.94,USD,5.78,BR-060,T24_Core,45377
ACCT-20181,CUST-10098,Credit Card,Retail Banking,Platinum Rewards Card,45195,Closed,459018.23,USD,,BR-014,T24_Core,45509
ACCT-20182,CUST-10098,Checking,Retail Banking,Personal Checking Plus,40585,Active,358841.11,USD,,BR-014,T24_Core,45475
ACCT-20183,CUST-10099,Checking,Retail Banking,Personal Checking Plus,45567,Closed,330122.07,USD,,BR-038,JackHenry_Legacy,45851
ACCT-20184,CUST-10099,Investment,Retail Banking,Managed Portfolio,42156,Active,436785.83,USD,,BR-038,JackHenry_Legacy,45639
ACCT-20185,CUST-10100,Savings,Retail Banking,High Yield Savings,43081,Closed,443801.12,USD,4.87,BR-071,T24_Core,45415
ACCT-20186,CUST-10100,Checking,Retail Banking,Personal Checking Plus,44535,Active,268763,USD,,BR-071,JackHenry_Legacy,45750
ACCT-20187,CUST-10101,Investment,Retail Banking,Managed Portfolio,43891,Active,156194.98,USD,,BR-047,JackHenry_Legacy,45774
ACCT-20188,CUST-10101,Mortgage,Retail Banking,30-Year Fixed Mortgage,40338,Closed,363281.97,USD,7.41,BR-047,JackHenry_Legacy,45690
ACCT-20189,CUST-10101,Checking,Retail Banking,Personal Checking Plus,40401,Active,224423.57,USD,,BR-047,JackHenry_Legacy,45453
ACCT-20190,CUST-10102,Investment,Retail Banking,Managed Portfolio,43442,Active,336249.66,USD,,BR-019,T24_Core,45458
ACCT-20191,CUST-10102,Checking,Retail Banking,Personal Checking Plus,42403,Active,73361.97,USD,,BR-019,T24_Core,45511
ACCT-20192,CUST-10103,Checking,Retail Banking,Personal Checking Plus,43725,Active,184710.18,USD,,BR-053,T24_Core,45975
ACCT-20193,CUST-10103,Credit Card,Retail Banking,Platinum Rewards Card,44404,Active,344540.03,USD,,BR-053,T24_Core,45527
ACCT-20194,CUST-10104,Savings,Retail Banking,High Yield Savings,44301,Active,484019.1,USD,4.09,BR-070,T24_Core,45547
ACCT-20195,CUST-10104,Checking,Retail Banking,Personal Checking Plus,40713,Active,300839.95,USD,,BR-070,T24_Core,45334
ACCT-20196,CUST-10105,Mortgage,Retail Banking,30-Year Fixed Mortgage,41196,Active,151699.72,USD,3.9,BR-073,T24_Core,45753
ACCT-20197,CUST-10105,Credit Card,Retail Banking,Platinum Rewards Card,40557,Active,1142.67,USD,,BR-073,JackHenry_Legacy,45945
ACCT-20198,CUST-10106,Credit Card,Retail Banking,Platinum Rewards Card,43549,Active,237666.25,USD,,BR-049,JackHenry_Legacy,45891
ACCT-20199,CUST-10106,Credit Card,Retail Banking,Platinum Rewards Card,40838,Dormant,74576.4,USD,,BR-049,T24_Core,45760
ACCT-20200,CUST-10107,Investment,Retail Banking,Managed Portfolio,43078,Closed,23005.28,USD,,BR-037,T24_Core,45627
ACCT-20201,CUST-10107,Investment,Retail Banking,Managed Portfolio,41903,Active,315091.59,USD,,BR-037,JackHenry_Legacy,45402
